Year,Trade_Flow,Reporter,Reporter_ISO,Partner,Partner_ISO,Trade_Value
2019,Import,Argentina,ARG,India,IND,809030585
2019,Export,Argentina,ARG,India,IND,2155535343
2019,Import,Argentina,ARG,Singapore,SGP,156378507
2019,Export,Argentina,ARG,Singapore,SGP,102982331
2019,Import,Argentina,ARG,Slovakia,SVK,41606669
2019,Export,Argentina,ARG,Slovakia,SVK,36598847
2019,Import,Argentina,ARG,Viet Nam,VNM,658495999
2019,Export,Argentina,ARG,Viet Nam,VNM,2806238093
2019,Import,Argentina,ARG,Slovenia,SVN,15073434
2019,Export,Argentina,ARG,Slovenia,SVN,3038094
2019,Import,Argentina,ARG,Somalia,SOM,6258
2019,Import,Argentina,ARG,South Africa,ZAF,137604480
2019,Export,Argentina,ARG,South Africa,ZAF,599004621
2019,Import,Argentina,ARG,Zimbabwe,ZWE,335177
2019,Export,Argentina,ARG,Zimbabwe,ZWE,8410615
2019,Import,Argentina,ARG,Spain,ESP,977230608
2019,Export,Argentina,ARG,Spain,ESP,1431719993
2019,Import,Argentina,ARG,Sudan,SDN,97921
2019,Export,Argentina,ARG,Sudan,SDN,3068140
2019,Import,Argentina,ARG,Suriname,SUR,17
2019,Export,Argentina,ARG,Suriname,SUR,5229065
2019,Import,Argentina,ARG,Eswatini,SWZ,4356
2019,Import,Argentina,ARG,Sweden,SWE,307053836
2019,Export,Argentina,ARG,Sweden,SWE,43335630
2019,Import,Argentina,ARG,Switzerland,CHE,404729456
2019,Export,Argentina,ARG,Switzerland,CHE,1689723696
2019,Import,Argentina,ARG,Syria,SYR,1621
2019,Export,Argentina,ARG,Syria,SYR,69183264
2019,Import,Argentina,ARG,Thailand,THA,1184466958
2019,Export,Argentina,ARG,Thailand,THA,600679556
2019,Import,Argentina,ARG,Togo,TGO,21808894
2019,Export,Argentina,ARG,Togo,TGO,7501114
2019,Import,Argentina,ARG,Tonga,TON,9316
2019,Import,Argentina,ARG,Trinidad and Tobago,TTO,160846449
2019,Export,Argentina,ARG,Trinidad and Tobago,TTO,12122796
2019,Import,Argentina,ARG,United Arab Emirates,ARE,186096080
2019,Export,Argentina,ARG,United Arab Emirates,ARE,453728713
2019,Import,Argentina,ARG,Tunisia,TUN,7620572
2019,Export,Argentina,ARG,Tunisia,TUN,121613822
2019,Import,Argentina,ARG,Turkey,TUR,227368399
2019,Export,Argentina,ARG,Turkey,TUR,514131090
2019,Import,Argentina,ARG,Turkmenistan,TKM,8038
2019,Import,Argentina,ARG,Uganda,UGA,20
2019,Export,Argentina,ARG,Uganda,UGA,43846780
2019,Import,Argentina,ARG,Ukraine,UKR,18985511
2019,Export,Argentina,ARG,Ukraine,UKR,35857849
2019,Import,Argentina,ARG,North Macedonia,MKD,3759156
2019,Export,Argentina,ARG,North Macedonia,MKD,5029526
2019,Import,Argentina,ARG,Egypt,EGY,129064967
2019,Export,Argentina,ARG,Egypt,EGY,988843652
2019,Import,Argentina,ARG,United Kingdom,GBR,583164662
2019,Export,Argentina,ARG,United Kingdom,GBR,732429659
2019,Import,Argentina,ARG,United Rep. of Tanzania,TZA,57351
2019,Export,Argentina,ARG,United Rep. of Tanzania,TZA,32243802
2019,Import,Argentina,ARG,Free Zones,,66594333
2019,Export,Argentina,ARG,Free Zones,,16520789
2019,Import,Argentina,ARG,USA,USA,6273636182
2019,Export,Argentina,ARG,USA,USA,4109531993
2019,Export,Argentina,ARG,Burkina Faso,BFA,825847
2019,Import,Argentina,ARG,Uruguay,URY,416906653
